duration,languages,topic,avg_sent_len,occupation,gender,sentiment_label,pscore
19.4,60,13.0,58.07287449392712,author,male,positive,0.028473567857613916
16.283333333333335,43,5.0,107.04477611940298,advocate,male,positive,0.03315300056041195
21.433333333333334,26,14.0,52.350364963503644,historian,male,positive,0.03622323983780146
18.6,35,8.0,85.89221556886227,activist,male,positive,0.023299186017977914
19.833333333333332,48,5.0,63.18942731277532,expert,male,positive,0.05557597319745543
21.75,36,1.0,42.817910447761186,expert,male,positive,0.08449730174079072
16.533333333333335,31,1.0,82.91329479768787,poet,female,positive,0.011260884672954675
19.966666666666665,19,9.0,90.21383647798744,architect,male,positive,0.05774966627409057
24.75,32,9.0,56.47244094488189,philosopher,male,positive,0.008273637542583052
21.033333333333335,31,1.0,60.01673640167364,author,male,positive,0.009442905208795356
23.566666666666666,27,9.0,63.18942731277532,social,male,positive,0.042093436563498225
25.633333333333333,20,11.0,68.63157894736842,filmmaker,female,positive,0.01935884791203412
25.833333333333332,24,5.0,72.08040201005025,poet,male,positive,0.026806289483295644
8.783333333333333,27,14.0,166.7906976744186,designer,male,positive,0.051395936356104024
17.616666666666667,25,13.0,74.32124352331606,technologist,male,positive,0.00993492588038859
24.683333333333334,31,2.0,326.0,historian,female,positive,0.022825783307800527
24.083333333333332,32,2.0,239.06666666666663,musician,female,positive,0.014660404486472139
15.1,27,5.0,102.45714285714287,engineer,female,positive,0.04416152801245079
19.5,22,9.0,48.13422818791946,designer,male,positive,0.018088293625169102
20.016666666666666,32,14.0,73.55897435897434,social,female,positive,0.036161317331616094
18.566666666666666,27,13.0,91.94871794871794,activist,female,positive,0.024563987136176163
18.933333333333334,26,14.0,80.13407821229049,artist,male,positive,0.09112691214174341
16.766666666666666,20,1.0,86.93333333333334,musician,female,positive,0.028472839208006306
23.45,33,3.0,61.82758620689656,expert,female,positive,0.04572147102067605
20.416666666666668,23,3.0,90.78481012658229,activist,female,positive,0.02655562668174375
19.0,29,6.0,122.59829059829059,physicist,male,positive,0.016363731217529157
21.933333333333334,36,6.0,96.91891891891892,biologist,male,positive,0.015625588623562368
21.25,25,8.0,83.88304093567251,economist,male,positive,0.08273292388290693
17.5,37,1.0,72.08040201005025,writer,male,positive,0.05430967912639666
21.266666666666666,43,1.0,60.779661016949156,expert,male,positive,0.041569764608979404
19.616666666666667,45,1.0,73.93814432989691,psychologist,male,positive,0.027701609404776565
18.816666666666666,26,4.0,103.94202898550724,researcher,female,positive,0.013277562530359784
22.75,29,4.0,65.49771689497717,expert,male,positive,0.014701824982787945
15.866666666666667,21,5.0,107.04477611940298,social,male,positive,0.018678009319017287
12.883333333333333,26,5.0,147.87628865979383,advocate,female,positive,0.03338480614767413
18.0,21,14.0,81.96571428571428,author,male,positive,0.03708295735418749
18.75,24,5.0,100.30769230769229,economist,male,positive,0.033154554354821626
19.616666666666667,28,14.0,83.3953488372093,engineer,male,positive,0.02993641194938646
18.05,26,10.0,56.92063492063492,photographer,male,positive,0.035889237059112955
27.866666666666667,24,5.0,49.12328767123286,musician,male,positive,0.017613553075055445
34.416666666666664,22,8.0,49.805555555555564,photographer,male,positive,0.04615007913114618
26.816666666666666,20,7.0,72.81218274111676,inventor,male,positive,0.03185873062387226
21.333333333333332,20,4.0,58.07287449392712,scientist,male,positive,0.02754861407819658
13.416666666666666,41,2.0,96.26845637583892,educator,male,positive,0.029809982636395137
22.933333333333334,22,7.0,77.53513513513515,inventor,male,positive,0.028679673135468483
20.0,26,10.0,68.96153846153847,technologist,male,positive,0.028313912263218485
14.133333333333333,24,11.0,247.31034482758625,musician,male,positive,0.047732758489601304
3.5,66,13.0,298.8333333333333,author,male,positive,0.05148705934737869
4.116666666666666,34,14.0,326.0,poet,male,positive,0.0524060752685941
3.3,48,4.0,717.2,author,male,positive,0.031716417165575744
14.05,22,8.0,124.7304347826087,author,male,positive,0.021735395073932896
16.683333333333334,32,5.0,77.95652173913044,economist,male,positive,0.007652777496419442
22.016666666666666,36,10.0,97.57823129251699,expert,male,positive,0.01874061773498413
